"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","3","deleteAllRecords","","","","","should not fail",""
"passed","Tue Jul 23 02:55:42 GMT 2024","Tue Jul 23 02:55:50 GMT 2024","8508","","CliKintoneTest-92 Should return the record contents and download attachments successfully with attachments in different records.","","","","CliKintoneTest-92 Should return the record contents and download attachments successfully with attachments in different records.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","9","convertFieldValue","","","","","[15] convert DATE field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","12","convertFieldValue","","","","","[13] convert TIME field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","23","upsertRecords","","","","","should throw error when the field specified in schema does not exist on input record",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","5","api","","","","","should pass basic auth params to the apiClient correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","convertFieldValue","","","","","[6] convert MULTI_LINE_TEXT field correctly",""
"passed","Tue Jul 23 02:55:20 GMT 2024","Tue Jul 23 02:55:24 GMT 2024","4207","","CliKintoneTest-31 Should import the records successfully with username (-u option) and password.","","","","CliKintoneTest-31 Should import the records successfully with username (-u option) and password.",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","14","csvStringifier","","","","","should convert empty array to csv string correctly",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","2","createSchema","","","","","should create schema correctly",""
"passed","Tue Jul 23 02:54:51 GMT 2024","Tue Jul 23 02:54:53 GMT 2024","1983","","CliKintoneTest-78 Should return the error message when the user has no privilege to view records.","","","","CliKintoneTest-78 Should return the error message when the user has no privilege to view records.",""
"passed","Tue Jul 23 02:55:06 GMT 2024","Tue Jul 23 02:55:07 GMT 2024","630","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.","","","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","12","isMismatchEncoding","","","","","should detect the mismatch encoding correctly",""
"passed","Tue Jul 23 02:55:01 GMT 2024","Tue Jul 23 02:55:05 GMT 2024","4351","","CliKintoneTest-22 Should import records to app with --api-token and --username, --password successfully.","","","","CliKintoneTest-22 Should import records to app with --api-token and --username, --password successfully.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","5","StandardLogger","","","","","should display the correct log message with multiple lines message",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","12","readFile","","","","","can detect file format correctly",""
